name,rack_id,device_type,interfaces,commands
S33,3,SWITCH,"Vlan1,GigabitEthernet1/0/1-GigabitEthernet1/0/24",
S34,3,SWITCH,"Vlan1,GigabitEthernet0/0,GigabitEthernet1/0/1-GigabitEthernet1/0/24,GigabitEthernet1/1/1-GigabitEthernet1/1/4",
S35,3,SWITCH,"Vlan1,GigabitEthernet0/0,GigabitEthernet1/0/1-GigabitEthernet1/0/24,GigabitEthernet1/1/1-GigabitEthernet1/1/4,Tel1/1/1-Tel1/1/4",
R31,3,ROUTER,"GigabitEthernet0/0,GigabitEthernet0/1,GigabitEthernet0/1/0-GigabitEthernet0/1/7",
R32,3,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/0,Serial0/0/1,Serial0/1/0,ATM0/2/0,Serial1/0-Serial1/3",
R33,3,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/0-Serial0/0/3,Serial0/1/0,ATM0/2/0",
R34,3,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
R35,3,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
S41,4,SWITCH,"Vlan1,FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S42,4,SWITCH,"Vlan1,FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S43,4,SWITCH,"Vlan1,FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S44,4,SWITCH,"Vlan1,GigabitEthernet0/0,GigabitEthernet1/0/1-GigabitEthernet1/0/24,GigabitEthernet1/1/1-GigabitEthernet1/1/4",
S45,4,SWITCH,,
R41,4,ROUTER,"GigabitEthernet0/0,GigabitEthernet0/1,GigabitEthernet0/1/0-GigabitEthernet0/1/7",
R42,4,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/0,Serial0/0/1,Serial0/1/0,ATM0/2/0,Serial1/0-Serial1/3",
R43,4,ROUTER,"FastEthernet0/0,Fa/1,Serial0/0/0-Serial0/0/3,Serial0/1/0,ATM0/2/0",
R44,4,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
R45,4,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
S51,5,SWITCH,"Vlan1,FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S52,5,SWITCH,"Vlan1,FastEthernet0/1-FastEthernet0/24,GigabitEthernet0/1-GigabitEthernet0/2",
S53,5,SWITCH,"Vlan1, FastEthernet0, GigabitEthernet1/0/1-GigabitEthernet1/0/52, Te1/0/1, Te1/0/2",
S54,5,SWITCH,"Vlan1, GigabitEthernet0/0, GigabitEthernet1/0/1-GigabitEthernet1/0/24, GigabitEthernet1/1/1-GigabitEthernet1/1/4",
S55,5,SWITCH,"Vlan1, GigabitEthernet0/0, GigabitEthernet1/0/1-GigabitEthernet1/0/24, GigabitEthernet1/1/1-GigabitEthernet1/1/4, Te1/1/1-Te1/1/4",
R51,5,ROUTER,"GigabitEthernet0/0,GigabitEthernet0/1,GigabitEthernet0/1/0-GigabitEthernet0/1/7",
R52,5,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/0,Serial0/0/1,Serial0/1/0,ATM0/2/0",
R53,5,ROUTER,"FastEthernet0/0, FastEthernet0/1, Serial0/0/0-Serial0/0/3, Serial0/1/0, ATM0/2/0",
R54,5,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
R55,5,ROUTER,"GigabitEthernet0/0/0-GigabitEthernet0/0/2,GigabitEthernet0/1/0-GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
S61,6,SWITCH,"Vlan1, FastEthernet0/1-FastEthernet0/24, GigabitEthernet0/1, GigabitEthernet0/2",
S62,6,SWITCH,"Vlan1, FastEthernet0/1-FastEthernet0/24, GigabitEthernet0/1, GigabitEthernet0/2",
S63,6,SWITCH,"Vlan1, FastEthernet0/1-FastEthernet0/24, GigabitEthernet0/1, GigabitEthernet0/2",
S64,6,SWITCH,"Vlan1, GigabitEthernet0/0, GigabitEthernet1/0/1-GigabitEthernet1/0/24, GigabitEthernet1/1/1-GigabitEthernet1/1/4",
S65,6,SWITCH,"Vlan1, GigabitEthernet0/0, GigabitEthernet1/0/1-GigabitEthernet1/0/24, GigabitEthernet1/1/1-GigabitEthernet1/1/4, Te1/1/1-Te1/1/4",
R61,6,ROUTER,"GigabitEthernet0/1/0,GigabitEthernet0/1/1,GigabitEthernet0/1/2,GigabitEthernet0/1/3,GigabitEthernet0/1/4,GigabitEthernet0/1/5,GigabitEthernet0/1/6,GigabitEthernet0/0,GigabitEthernet0/1,Embedded-Service-Engine0/0",
R62,6,ROUTER,"FastEthernet0/0,FastEthernet0/1,Serial0/0/0,Serial0/0/1,Serial0/1/0,ATM0/2/0",
R63,6,ROUTER,"Serial0/0/0,Serial0/0/1,Serial0/0/2,Serial0/0/3,Serial0/1/0,FastEthernet0/0,FastEthernet0/1,ATM0/2/0",
R64,6,ROUTER,"GigabitEthernet0/0/0,GigabitEthernet0/0/1,GigabitEthernet0/0/2,GigabitEthernet0/1/0,GigabitEthernet0/1/1,GigabitEthernet0/1/2,GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
R65,6,ROUTER,"GigabitEthernet0/0/0,GigabitEthernet0/0/1,GigabitEthernet0/0/2,GigabitEthernet0/1/0,GigabitEthernet0/1/1,GigabitEthernet0/1/2,GigabitEthernet0/1/3,Serial0/2/0,Serial0/2/1,ucsel1/0/0,ucsel1/0/1,GigabitEthernet0",
